FROM_ID,TO_ID,DIST_KM
1,1,0.0
1,2,8.5219
1,3,12.71534
1,4,7.5853
1,5,13.21229
1,6,4.83993
1,7,5.21978
1,8,8.63552
1,9,12.56917
1,10,12.73204
1,11,10.64978
1,12,11.16955
1,13,11.95039
1,14,9.48327
1,15,10.75237
1,16,6.20306
1,17,7.80153
1,18,6.5376
1,19,6.6713
1,20,8.49313
1,21,11.51506
1,22,7.39127
1,23,15.77819
1,24,16.5026
1,25,10.31584
1,26,10.85668
1,27,11.51207
1,28,16.08621
1,29,0.36596
1,30,1.77969
1,31,10.94433
1,32,8.45434
1,33,8.37056
1,34,9.55851
1,35,8.07326
1,36,6.8261
1,37,6.50231
1,38,7.99564
1,39,9.72464
1,40,9.00739
1,41,11.27221
1,42,5.65741
1,43,5.2428
1,44,6.83364
1,45,9.51029
1,46,9.70066
1,47,10.47946
1,48,8.23693
1,49,7.42688
1,50,8.45927
1,51,6.87029
1,52,4.43623
1,53,5.77916
1,54,9.65052
1,55,10.99933
1,56,4.9866
2,1,8.51955
2,2,0.0
2,3,12.08694
2,4,15.75578
2,5,17.28968
2,6,13.01041
2,7,11.24468
2,8,11.82515
2,9,15.7588
2,10,12.10363
2,11,10.02138
2,12,10.54115
2,13,11.32199
2,14,11.99032
2,15,13.25942
2,16,7.64349
2,17,5.76525
2,18,5.69601
2,19,6.86706
2,20,7.27884
2,21,10.88665
2,22,6.76287
2,23,15.14978
2,24,15.87419
2,25,9.68744
2,26,10.22827
2,27,10.88367
2,28,15.45781
2,29,8.15364
2,30,7.8648
2,31,15.02172
2,32,12.53173
2,33,12.44796
2,34,13.6359
2,35,9.83388
2,36,9.02395
2,37,8.70016
2,38,9.32093
2,39,10.95527
2,40,10.23801
2,41,12.50283
2,42,6.86124
2,43,7.22773
2,44,6.4686
2,45,5.66887
2,46,5.28879
2,47,1.69192
2,48,2.14831
2,49,2.11402
2,50,4.43581
2,51,3.34311
2,52,6.7822
2,53,5.17488
2,54,12.84015
2,55,10.37093
2,56,5.56068
3,1,13.65053
3,2,11.74747
3,3,0.0
3,4,15.27363
3,5,19.53157
3,6,12.52826
3,7,10.76253
3,8,11.343
3,9,7.83696
3,10,2.06072
3,11,3.33096
3,12,2.29505
3,13,2.73718
3,14,4.38197
3,15,5.65107
3,16,7.16134
3,17,6.45967
3,18,7.19553
3,19,6.38491
3,20,6.52419
3,21,8.24718
3,22,5.42233
3,23,12.51031
3,24,13.23472
3,25,7.04797
3,26,7.5888
3,27,8.2442
3,28,12.81833
3,29,13.28462
3,30,12.99578
3,31,19.987
3,32,17.497
3,33,17.41323
3,34,18.60117
3,35,17.11593
3,36,15.86876
3,37,15.54497
3,38,17.0383
3,39,18.76731
3,40,18.05005
3,41,20.31487
3,42,14.70007
3,43,14.28547
3,44,13.2377
3,45,15.07575
3,46,15.26612
3,47,13.70503
3,48,11.4625
3,49,10.65244
3,50,12.86298
3,51,11.19833
3,52,13.47889
3,53,11.88351
3,54,12.358
3,55,7.73146
3,56,12.00592
4,1,7.5853
4,2,15.27002
4,3,15.16109
4,4,0.0
4,5,4.25794
4,6,2.7514
4,7,7.1211
4,8,11.08127
4,9,15.01492
4,10,15.17779
4,11,13.09554
4,12,13.6153
4,13,14.39614
4,14,11.92902
4,15,13.19812
4,16,8.64881
4,17,10.87437
4,18,9.94937
4,19,9.11705
4,20,10.93888
4,21,13.96081
4,22,9.83702
4,23,18.22394
4,24,18.94835
4,25,12.7616
4,26,13.30243
4,27,13.95783
4,28,18.53196
4,29,7.87794
4,30,9.29166
4,31,9.92153
4,32,11.98385
4,33,12.48713
4,34,12.09523
4,35,14.68329
4,36,17.12636
4,37,16.80256
4,38,18.29589
4,39,20.0249
4,40,19.30764
4,41,21.57246
4,42,15.95766
4,43,15.54306
4,44,14.15939
4,45,16.62869
4,46,16.81906
4,47,17.22758
4,48,14.98505
4,49,14.17499
4,50,15.28305
4,51,13.6184
4,52,14.73648
4,53,12.8052
4,54,12.09627
4,55,13.44509
4,56,12.92761
5,1,12.70991
5,2,18.43007
5,3,19.41903
5,4,4.25794
5,5,0.0
5,6,7.00934
5,7,11.37904
5,8,15.33921
5,9,13.52488
5,10,19.43573
5,11,17.35347
5,12,17.87324
5,13,18.65408
5,14,16.18696
5,15,17.45606
5,16,12.90675
5,17,16.35139
5,18,15.08747
5,19,13.375
5,20,15.19682
5,21,18.21875
5,22,14.09496
5,23,22.48188
5,24,23.20629
5,25,17.01954
5,26,17.56037
5,27,18.21577
5,28,22.7899
5,29,12.35752
5,30,11.02701
5,31,5.78131
5,32,7.84363
5,33,8.34691
5,34,7.95501
5,35,10.54307
5,36,12.98613
5,37,12.66234
5,38,14.15567
5,39,15.88468
5,40,15.16742
5,41,17.43224
5,42,11.81744
5,43,11.40283
5,44,12.99367
5,45,15.67032
5,46,15.86069
5,47,18.29218
5,48,17.16595
5,49,16.35589
5,50,16.60855
5,51,15.78729
5,52,10.59626
5,53,12.76024
5,54,10.60623
5,55,17.70303
5,56,12.92018
6,1,4.83993
6,2,12.52465
6,3,12.41572
6,4,2.7514
6,5,7.00934
6,6,0.0
6,7,4.37573
6,8,8.3359
6,9,12.26955
6,10,12.43242
6,11,10.35016
