,date,start,end,deviceid,emptier type,skip_origin
0,2021-01-17,2021-01-17T09:00:55.952+02:00,2021-01-17T09:01:26.644+02:00,355629267161187,bcc,Blantyre flea market
1,2021-01-11,2021-01-11T11:06:30.393+02:00,2021-01-11T11:07:36.368+02:00,355629267161187,bcc,Blantyre flea market
2,2021-01-11,2021-01-11T12:19:07.841+02:00,2021-01-11T12:20:02.131+02:00,355629267161187,bcc,Blantyre flea market
3,2021-01-11,2021-01-11T13:42:06.380+02:00,2021-01-11T13:42:35.917+02:00,355629267161187,bcc,Queens Guardian shelter
4,2021-01-11,2021-01-11T14:57:49.578+02:00,2021-01-11T14:58:08.742+02:00,355629267161187,bcc,Limbe flea market
5,2021-01-11,2021-01-11T15:17:36.674+02:00,2021-01-11T15:17:59.544+02:00,355629267161187,bcc,Milowa
6,2021-01-11,2021-01-11T16:03:08.918+02:00,2021-01-11T16:03:31.683+02:00,355629267161187,bcc,Limbe market
7,2021-01-11,2021-01-11T16:35:25.935+02:00,2021-01-11T16:35:45.392+02:00,355629267161187,bcc,Kachere market
8,2020-12-16,2020-12-16T09:56:46.524+02,2020-12-16T09:57:13.094+02,351880375302742,bcc,Blantyre flea market
9,2020-12-16,2020-12-16T13:35:12.568+02,2020-12-16T13:35:53.422+02,351880375302742,bcc,Pafumbi bus terminal
10,2020-12-17,2020-12-17T09:16:06.064+02,2020-12-17T09:16:37.817+02,351880375302742,bcc,Chirimba market
11,2020-12-17,2020-12-17T10:31:25.038+02,2020-12-17T10:31:56.496+02,351880375302742,bcc,Blantyre flea market
12,2020-12-17,2020-12-17T11:18:42.461+02,2020-12-17T11:19:49.127+02,351880375302742,bcc,
13,2021-04-30,2021-04-30T12:37:59.910+02:00,2021-04-30T12:38:56.042+02:00,355629267161187,bcc,Limbe market
14,2021-05-07,2021-05-07T14:35:33.950+02:00,2021-05-07T14:35:51.160+02:00,355629267161187,bcc,
15,2021-05-08,2021-05-08T11:15:57.586+02:00,2021-05-08T11:16:17.754+02:00,355629267161187,bcc,Blantyre market
