,start,end,#,min,mean,Q1,median,Q3,max,std
Blantyre flea market,2020-12-05 00:00:00,2021-12-30 00:00:00,205.0,0.0,1.9024390243902438,1.0,1.0,2.0,38.0,2.8884903279983853
Queens Guardian shelter,2020-12-06 00:00:00,2021-11-27 00:00:00,18.0,0.0,19.77777777777778,2.5,8.0,37.5,68.0,22.03354542925415
Limbe flea market,2020-12-07 00:00:00,2021-12-24 00:00:00,58.0,0.0,6.586206896551724,2.0,4.0,8.75,51.0,9.247160745395297
Milowa,2020-12-10 00:00:00,2021-12-31 00:00:00,146.0,0.0,2.643835616438356,1.0,2.0,3.0,43.0,4.047544553272109
Limbe market,2020-12-05 00:00:00,2021-12-27 00:00:00,84.0,0.0,4.607142857142857,1.0,3.0,5.0,43.0,6.09763504845651
Kachere market,2020-12-06 00:00:00,2021-12-28 00:00:00,73.0,0.0,5.301369863013699,2.0,3.0,5.0,41.0,7.233573213201469
Pafumbi bus terminal,2020-12-07 00:00:00,2021-12-27 00:00:00,28.0,1.0,13.75,6.5,11.0,17.5,45.0,10.762159359258442
Chirimba market,2020-12-14 00:00:00,2021-12-29 00:00:00,123.0,0.0,3.089430894308943,1.0,2.0,3.0,39.0,4.726985886916027
Blantyre market,2020-12-15 00:00:00,2021-12-29 00:00:00,105.0,0.0,3.6095238095238096,1.0,2.0,4.0,46.0,5.237614030510528
Chemusa market,2020-12-11 00:00:00,2021-12-23 00:00:00,59.0,0.0,6.389830508474576,2.0,4.0,7.0,57.0,9.62041104067113
Mbayani market,2020-12-05 00:00:00,2021-11-26 00:00:00,17.0,2.0,20.941176470588236,5.0,10.0,35.0,65.0,21.472280352338263
Bangwe ground,2020-12-05 00:00:00,2021-12-12 00:00:00,13.0,0.0,28.615384615384617,11.0,16.0,23.0,114.0,34.65914612705296
Khama market,2020-12-09 00:00:00,2021-12-31 00:00:00,51.0,0.0,7.588235294117647,3.0,6.0,9.5,43.0,7.836265617213943
Nanjiriri market,2020-12-19 00:00:00,2021-12-14 00:00:00,13.0,7.0,27.692307692307693,16.0,24.0,41.0,52.0,14.378135109629804
Mbwerela,2021-02-28 00:00:00,2021-12-29 00:00:00,15.0,0.0,20.266666666666666,8.5,15.0,24.0,59.0,18.545182919664324
Kayange,2020-12-14 00:00:00,2021-12-27 00:00:00,14.0,0.0,27.0,8.5,18.0,46.75,71.0,24.220144190639836
