,avg_ramp,number_ramps,days_overfull_prop,number_days
Bangwe_Organic_1_no_rm_spike,0.21543541928157314,26.0,0.25513196480938416,341.0
Bangwe_Organic_2_no_rm_spike,,,,
Bangwe_inorganic_1_no_rm_spike,0.7659556878306878,36.0,0.6898550724637681,345.0
Bangwe_inorganic_2_no_rm_spike,0.5413194444444444,20.0,0.7169811320754716,265.0
BCA_Organic_1_no_rm_spike,0.10465690685832385,13.0,0.38271604938271603,324.0
BCA_Organic_2_no_rm_spike,0.07670454545454546,2.0,0.0,54.0
BCA_inorganic_1_no_rm_spike,0.12552697846815494,7.0,0.5343283582089552,335.0
BCA_inorganic_2_no_rm_spike,0.04707792207792208,2.0,0.6235955056179775,178.0
Naizi_Organic_1_no_rm_spike,0.04599712467722336,8.0,0.20987654320987653,324.0
Naizi_inorganic_1_no_rm_spike,0.16091912988971813,17.0,0.2894736842105263,342.0
Chigumula_Organic_1_no_rm_spike,0.21192347276906098,24.0,0.18042813455657492,327.0
Chigumula_Organic_2_no_rm_spike,0.14193591496223076,19.0,0.1031390134529148,223.0
Chigumula_inorganic_1_no_rm_spike,0.30834859584859586,9.0,0.25225225225225223,333.0
Chigumula_inorganic_2_no_rm_spike,,,,
Naizi_Organic_2_no_rm_spike,,,,
Naizi_inorganic_2_no_rm_spike,,,,
