,avg_ramp,number_ramps,days_overfull_prop,number_days
Bangwe_Organic_1,0.21505999787249785,24.0,0.258160237388724,337.0
Bangwe_Organic_2,,,,
Bangwe_inorganic_1,0.489648033126294,23.0,0.7247706422018348,327.0
Bangwe_inorganic_2,0.39956597222222223,16.0,0.7372549019607844,255.0
BCA_Organic_1,0.09108262152520524,11.0,0.3862928348909657,321.0
BCA_Organic_2,0.07670454545454546,2.0,0.0,54.0
BCA_inorganic_1,0.06311480821284743,6.0,0.5359281437125748,334.0
BCA_inorganic_2,0.038461538461538464,1.0,0.6271186440677966,177.0
Naizi_Organic_1,0.04599712467722336,8.0,0.20987654320987653,324.0
Naizi_inorganic_1,0.14449489691594952,15.0,0.29289940828402367,338.0
Chigumula_Organic_1,0.15767444506940304,21.0,0.18322981366459629,322.0
Chigumula_Organic_2,0.12701289095519866,13.0,0.10648148148148148,216.0
Chigumula_inorganic_1,0.05550141487641488,4.0,0.25617283950617287,324.0
Chigumula_inorganic_2,,,,
Naizi_Organic_2,,,,
Naizi_inorganic_2,,,,
