,Average filling rate min,Average filling rate max,# (min),# (max),days overfull,period (days)
Bangwe_Organic_1,0.215,0.215,24,26,0.258,341
Bangwe_Organic_2,,,,,,
Bangwe_inorganic_1,0.49,0.766,23,36,0.725,345
Bangwe_inorganic_2,0.4,0.541,16,20,0.737,265
BCA_Organic_1,0.091,0.105,11,13,0.386,324
BCA_Organic_2,0.077,0.077,2,2,0,54
BCA_inorganic_1,0.063,0.126,6,7,0.536,335
BCA_inorganic_2,0.038,0.047,1,2,0.627,178
Naizi_Organic_1,0.046,0.046,8,8,0.21,324
Naizi_Organic_2,,,,,,
Naizi_inorganic_1,0.144,0.161,15,17,0.293,342
Naizi_inorganic_2,,,,,,
Chigumula_Organic_1,0.158,0.212,21,24,0.183,327
Chigumula_Organic_2,0.127,0.142,13,19,0.106,223
Chigumula_inorganic_1,0.056,0.308,4,9,0.256,333
Chigumula_inorganic_2,,,,,,
