Name,bin_ID,num_in_area,Q1
Ndirande ground,1,2.0,0.046511627906976744
Chimwankhunda mosque,2,1.0,0.011560693641618497
Naizi market,3,2.0,0.144
Machinjiri market,4,1.0,
South Lunzu market,5,1.0,0.2
Khama market,6,1.0,0.3333333333333333
Nkolokoti market,7,1.0,0.016129032258064516
Kachere market,8,2.0,0.25
Kachere market,9,2.0,0.25
Naizi market,10,2.0,0.144
Bangwe market,11,3.0,0.6535
Bangwe market,12,3.0,0.6535
Bangwe market,13,3.0,0.6535
Bangwe ground,14,2.0,0.6535
Bangwe ground,15,2.0,0.6535
Limbe flea market,16,1.0,0.5
Limbe market,17,2.0,0.5
Limbe Hard Ware,18,1.0,1.0
Limbe market,19,2.0,0.5
Pafumbi bus terminal,20,1.0,0.15384615384615385
Likotima,21,1.0,
I.T.G,22,1.0,
Chigumula,23,3.0,0.056
Chigumula,24,3.0,0.056
BCA market,25,3.0,0.0505
BCA market,26,3.0,0.0505
BCA market,27,3.0,0.0505
Chigumula,28,3.0,0.056
Ndirande ground,29,2.0,0.046511627906976744
Ndirande market,30,1.0,0.5
Kameza round a bout,31,1.0,0.2
Chirimba market,32,2.0,0.5
Chirimba market,33,2.0,0.5
Chiweto,34,1.0,0.05
Chemusa market,35,1.0,0.5
Kayange,36,1.0,0.11764705882352941
Mbayani market,37,1.0,0.2
Mbwerela,38,1.0,0.11764705882352941
Chilomoni market,39,1.0,0.2
Fargo,40,1.0,0.16
Nthukwa market,41,1.0,0.06349206349206349
Blantyre flea market,42,1.0,1.0
Mibawa Bus terminals,43,1.0,0.14285714285714285
Blantyre market,44,1.0,1.0
Malekano,45,1.0,0.009523809523809525
Manase Market,46,1.0,0.05263157894736842
Chilobwe,47,1.0,0.16666666666666666
Thawale market,48,1.0,0.26666666666666666
Zingwangwa water board,49,1.0,0.08695652173913043
Zingwangwa mosque,50,1.0,0.026143790849673203
Soche market,51,1.0,0.07407407407407407
Wenela Bus terminal,52,1.0,0.043010752688172046
Queens Guardian shelter,53,1.0,0.4
Mzedi dump,54,,
Limbe Composting,55,,
Storage city center,56,,
