date,Bangwe_Organic_1,Bangwe_Organic_2,Bangwe_inorganic_1,Bangwe_inorganic_2,BCA_Organic_1,BCA_Organic_2,BCA_inorganic_1,BCA_inorganic_2,Naizi_Organic_1,Naizi_Organic_2,Naizi_inorganic_1,Naizi_inorganic_2,Chigumula_Organic_1,Chigumula_Organic_2,Chigumula_inorganic_1,Chigumula_inorganic_2
20-Oct-20,1.75,,7,,,,1.75,,,,0,,,,7,
21-Oct-20,3.5,,8,,,,3.5,,,,0,,,,7,
22-Oct-20,5.25,,8,,,,3.5,,,,1.75,,,,7,
23-Oct-20,7,,8,,,,3.5,,,,3.5,,,,7,
24-Oct-20,0,,0,,,,3.5,,,,5.25,,,,7,
25-Oct-20,0,,1.75,,,,3.5,,,,5.25,,,,7,
26-Oct-20,1.75,,7,,,,3.5,,,,5.25,,0,,7,
27-Oct-20,3.5,,8,,0,,5.25,,,,5.25,,0,,7,
28-Oct-20,3.5,,8,,0,,5.25,,,,5.25,,0,,7,
29-Oct-20,3.5,,8,,0,,5.25,,,,7,,0,,7,
30-Oct-20,3.5,,8,,0,,5.25,,,,7,,1.75,,7,
31-Oct-20,5.25,,5.25,,0,,5.25,,,,7,,3.5,,7,
01-Nov-20,7,,3.5,,0,,7,,,,7,,3.5,,7,
02-Nov-20,7,,8,,0,,7,,,,8,,5.25,,7,
03-Nov-20,0,,0,,0,,7,,,,8,,5.25,,7,
04-Nov-20,0,,1.75,,0,,7,,,,8,,5.25,,7,
05-Nov-20,0,,5.25,,0,,7,,,,8,,5.25,,7,
06-Nov-20,0,,7,,0,,8,,,,8,,3.5,,7,
07-Nov-20,0,,8,,0,,8,,0,,0,,7,,5.25,
08-Nov-20,0,,8,,1.75,,8,,0,,0,,5.25,,7,
09-Nov-20,1.75,,8,,3.5,,8,,0,,1.75,,5.25,,7,
10-Nov-20,3.5,,8,,3.5,,8,,0,,3.5,,5.25,,7,
11-Nov-20,5.25,,8,,3.5,,8,,0,,3.5,,5.25,,7,
12-Nov-20,5.25,,8,,3.5,,8,,0,,3.5,,5.25,,7,
13-Nov-20,5.25,,0,,3.5,,8,,0,,5.25,,7,,7,
14-Nov-20,7,,3.5,,3.5,,8,,0,,5.25,,7,,7,
15-Nov-20,7,,3.5,,3.5,,8,,1.75,,5.25,,5.25,,7,
16-Nov-20,7,,7,,3.5,,8,,5.25,,5.25,,5.25,,7,
17-Nov-20,7,,7,,3.5,,0,,5.25,,5.25,,5.25,,7,
18-Nov-20,0,,7,,3.5,,0,,5.25,,5.25,,0,,7,
19-Nov-20,0,,8,,3.5,,0,,5.25,,7,,0,,7,
20-Nov-20,0,,8,,3.5,,0,,5.25,,7,,0,,7,
21-Nov-20,1.75,,8,,3.5,,0,,5.25,,0,,0,,7,
22-Nov-20,3.5,,8,,3.5,,0,,5.25,,0,,1.75,,7,
23-Nov-20,3.5,,8,,3.5,,0,,5.25,,1.75,,5.25,,7,
24-Nov-20,3.5,,8,,3.5,,0,,5.25,,3.5,,5.25,,7,
25-Nov-20,5.25,,8,,3.5,,1.75,,5.25,,5.25,,5.25,,7,
26-Nov-20,5.25,,0,,3.5,,3.5,,5.25,,5.25,,5.25,,7,
27-Nov-20,5.25,,1.75,,3.5,,3.5,,5.25,,5.25,,5.25,,7,
28-Nov-20,5.25,,5.25,,3.5,,3.5,,5.25,,5.25,,5.25,,7,
29-Nov-20,5.25,,5.25,,3.5,,3.5,,5.25,,5.25,,5.25,,7,
30-Nov-20,7,,8,,3.5,,3.5,,5.25,,5.25,,5.25,,7,
01-Dec-20,7,,7,,3.5,,5.25,,5.25,,5.25,,5.25,,7,
02-Dec-20,7,,8,,3.5,,5.25,,5.25,,5.25,,5.25,,7,
03-Dec-20,8,,8,,3.5,,5.25,,5.25,,7,,5.25,,7,
04-Dec-20,0,,8,,3.5,,5.25,,5.25,,7,,5.25,,7,
05-Dec-20,0,,8,,5.25,,7,,5.25,,7,,5.25,,7,
06-Dec-20,1.75,,8,,5.25,,7,,5.25,,7,,5.25,,7,
07-Dec-20,7,,7,,5.25,,7,,5.25,,7,,5.25,,7,
08-Dec-20,7,,8,,5.25,,7,,5.25,,8,,5.25,,7,
09-Dec-20,3.5,,8,,5.25,,7,,5.25,,8,,5.25,,7,
10-Dec-20,0,,8,,0,,7,,5.25,,8,,5.25,,7,
11-Dec-20,0,,8,,1.75,,7,,5.25,,0,,5.25,,7,
12-Dec-20,0,,7,,5.25,,7,,5.25,,0,,5.25,,7,
13-Dec-20,0,,7,,5.25,,7,,5.25,,0,,5.25,,7,
14-Dec-20,1.75,,8,,5.25,,7,,5.25,,0,,7,,8,
15-Dec-20,3.5,,8,,5.25,,8,,5.25,,0,,7,,8,
16-Dec-20,3.5,,8,,5.25,,8,,5.25,,0,,7,,8,
17-Dec-20,3.5,,8,,5.25,,8,,5.25,,1.75,,7,,5.25,
18-Dec-20,3.5,,8,,7,,5.25,,5.25,,3.5,,7,,8,
19-Dec-20,3.5,,8,,5.25,,8,,5.25,,3.5,,7,,8,
20-Dec-20,5.25,,8,,5.25,,8,,5.25,,3.5,,7,,8,
21-Dec-20,5.25,,8,,5.25,,8,,5.25,,5.25,,7,,8,
