,start,end,#,min,mean,Q1,median,Q3,max,std
Blantyre flea market,2020-12-05 00:00:00,2021-12-30 00:00:00,195.0,1.0,2.0103092783505154,1.0,1.0,3.0,38.0,2.9251657644837366
Queens Guardian shelter,2020-12-06 00:00:00,2021-11-27 00:00:00,17.0,1.0,22.25,1.5,10.0,50.5,68.0,21.466543736708058
Limbe flea market,2020-12-07 00:00:00,2021-12-24 00:00:00,57.0,1.0,6.821428571428571,1.0,4.0,12.5,51.0,9.242964781885934
Milowa,2020-12-10 00:00:00,2021-12-31 00:00:00,129.0,1.0,3.015625,1.0,2.0,6.0,43.0,4.1757940393864015
Limbe market,2020-12-05 00:00:00,2021-12-27 00:00:00,79.0,1.0,4.961538461538462,1.0,3.0,10.599999999999994,43.0,6.148675712521476
Kachere market,2020-12-06 00:00:00,2021-12-28 00:00:00,67.0,1.0,5.863636363636363,1.0,3.5,14.5,41.0,7.333787238644709
Pafumbi bus terminal,2020-12-07 00:00:00,2021-12-27 00:00:00,29.0,1.0,13.75,2.4000000000000004,11.0,26.500000000000004,45.0,10.568230693924125
Chirimba market,2020-12-14 00:00:00,2021-12-29 00:00:00,115.0,1.0,3.3333333333333335,1.0,2.0,6.0,39.0,4.8061850988781485
Blantyre market,2020-12-15 00:00:00,2021-12-29 00:00:00,95.0,1.0,4.031914893617022,1.0,3.0,8.0,46.0,5.352374950410162
Chemusa market,2020-12-11 00:00:00,2021-12-23 00:00:00,56.0,1.0,6.8545454545454545,1.0,4.0,11.600000000000001,57.0,9.716748767544123
Mbayani market,2020-12-05 00:00:00,2021-11-26 00:00:00,18.0,2.0,20.941176470588236,2.6,10.0,55.800000000000004,65.0,20.83117174483893
Bangwe ground,2020-12-05 00:00:00,2021-12-12 00:00:00,13.0,1.0,31.0,10.1,17.0,86.60000000000002,114.0,33.575784925051764
Khama market,2020-12-09 00:00:00,2021-12-31 00:00:00,49.0,1.0,8.0625,1.0,6.5,16.300000000000004,43.0,7.755122634964152
Nanjiriri market,2020-12-19 00:00:00,2021-12-14 00:00:00,14.0,7.0,27.692307692307693,13.4,24.0,48.400000000000006,52.0,13.814065381590748
Mbwerela,2021-02-28 00:00:00,2021-12-29 00:00:00,15.0,1.0,21.714285714285715,4.5,16.5,51.80000000000001,59.0,17.67738091229488
Kayange,2020-12-14 00:00:00,2021-12-27 00:00:00,14.0,5.0,29.076923076923077,5.6000000000000005,21.0,63.400000000000006,71.0,22.939591366696263
Limbe Hard Ware,2020-12-15 00:00:00,2021-12-30 00:00:00,109.0,1.0,3.5185185185185186,1.0,2.0,7.0,39.0,4.575460878387779
Mibawa Bus terminals,2020-12-12 00:00:00,2021-12-31 00:00:00,18.0,4.0,22.58823529411765,5.6,12.0,43.60000000000001,134.0,30.85079620200389
Bangwe market,2020-12-05 00:00:00,2021-12-23 00:00:00,28.0,1.0,14.185185185185185,2.6,6.0,37.60000000000001,62.0,16.34135185721371
Chilomoni market,2021-01-07 00:00:00,2021-11-18 00:00:00,15.0,3.0,22.5,4.3,8.5,58.500000000000014,68.0,22.417308363978808
Thawale market,2020-12-06 00:00:00,2021-11-08 00:00:00,20.0,1.0,17.736842105263158,2.6,10.0,46.199999999999996,73.0,19.086622775521846
Ndirande market,2021-01-07 00:00:00,2021-12-29 00:00:00,41.0,1.0,8.9,2.0,5.0,12.100000000000001,61.0,14.086873322352268
Chilobwe,2020-12-07 00:00:00,2021-12-08 00:00:00,12.0,3.0,33.27272727272727,3.0,18.0,93.0,118.0,36.62113376203048
Kameza round a bout,2020-12-11 00:00:00,2021-11-27 00:00:00,25.0,1.0,14.625,2.3000000000000003,13.5,32.4,42.0,11.03333018630368
Ndirande ground,2021-01-08 00:00:00,2021-12-20 00:00:00,11.0,6.0,34.6,6.9,16.5,82.79999999999997,153.0,43.78858298689283
Malekano,2021-01-15 00:00:00,2021-04-30 00:00:00,2.0,105.0,105.0,105.0,105.0,105.0,105.0,0.0
South Lunzu market,2020-12-09 00:00:00,2021-12-25 00:00:00,9.0,4.0,47.625,4.7,37.5,101.5,126.0,41.75804563194978
Nkolokoti market,2020-12-09 00:00:00,2021-11-24 00:00:00,6.0,38.0,70.0,47.6,63.0,94.6,99.0,21.45693361130616
Zingwangwa mosque,2020-12-07 00:00:00,2021-11-01 00:00:00,7.0,5.0,54.833333333333336,21.5,41.5,101.5,139.0,41.43837459274783
Zingwangwa water board,2020-12-07 00:00:00,2021-11-04 00:00:00,8.0,3.0,47.42857142857143,7.800000000000001,13.0,101.80000000000001,124.0,45.30170965823678
Soche market,2020-12-07 00:00:00,2021-12-02 00:00:00,8.0,12.0,51.42857142857143,12.6,35.0,109.6,112.0,41.02910863158059
Chiweto,2020-12-11 00:00:00,2021-12-28 00:00:00,6.0,10.0,76.4,14.0,29.0,175.4,231.0,82.43931101119175
Naizi market,2020-12-11 00:00:00,2021-10-18 00:00:00,4.0,81.0,103.66666666666667,86.2,107.0,119.8,123.0,17.30767331432956
BCA market,2020-12-11 00:00:00,2021-09-08 00:00:00,4.0,5.0,90.33333333333333,20.6,83.0,163.0,183.0,72.85297218065682
Wenela Bus terminal,2020-12-14 00:00:00,2021-12-13 00:00:00,9.0,6.0,45.5,10.200000000000001,31.0,81.59999999999997,181.0,52.354560450833695
Nancholi Police,2020-12-22 00:00:00,2021-01-15 00:00:00,2.0,24.0,24.0,24.0,24.0,24.0,24.0,0.0
Chimwankhunda mosque,2020-12-22 00:00:00,2021-09-24 00:00:00,3.0,35.0,138.0,55.6,138.0,220.4,241.0,103.0
Manase Market,2020-12-22 00:00:00,2021-12-14 00:00:00,10.0,6.0,39.666666666666664,14.8,20.0,79.80000000000001,119.0,34.2117588621872
Nthukwa market,2021-01-07 00:00:00,2021-11-30 00:00:00,8.0,3.0,46.714285714285715,13.200000000000001,40.0,98.4,108.0,36.074186598945104
Fargo,2021-01-06 00:00:00,2021-12-27 00:00:00,11.0,1.0,35.5,2.8,16.0,67.19999999999995,195.0,55.42788107081129
