numV,set_add_bins,max_add,feas,added,objective,gap
4,1,3,1,3,1492307.92704,0.00035548214259258
4,1,4,1,4,1478294.41152,0.00941001623904194
4,1,5,1,5,1389530.6688,0.00968611796046314
4,1,6,1,6,1377736.24521228,0.00956401332855502
4,1,7,1,7,1368365.16864,0.00635712079379425
4,1,8,1,8,1362454.60608,0.00522403390430689
4,1,9,1,9,1357742.74176,0.00662364245338162
4,1,10,1,10,1353408.88703529,0.00918361750935833
4,1,11,1,10,1353408.88126046,0.00995047400404199
4,1,12,1,10,1353408.89088,0.00955105139870884
